house,money,location,house_info,house_type,part
佛心桥 2室1厅 3500元,3500,玄武后宰门,-64㎡南2室1厅1卫,all,玄武
恒基中心公寓 1室0厅 4000元,4000,玄武丹凤街,-44㎡南1室0厅1卫,all,玄武
都市公社 2房间1卫 2800元,2800,玄武孝陵卫,-49㎡南1室1厅1卫,all,玄武
尖角营小区 2室1厅 3500元,3500,玄武丹凤街,-50㎡南2室1厅1卫,all,玄武
峨眉路12号 2室1厅 3600元,3600,玄武玄武门,-55㎡南 北2室1厅1卫,all,玄武
晏公庙西村 2室1厅 3200元,3200,玄武孝陵卫,-62㎡南2室1厅1卫,all,玄武
北苑二村 1室1厅 2100元,2100,玄武迈皋桥,-45㎡南 北1室1厅1卫,all,玄武
康定里 2室1厅 2000元,2000,玄武卫岗,-45㎡南2室1厅1卫,all,玄武
后宰门西村 1室1厅 2600元,2600,玄武后宰门,-38㎡西1室1厅1卫,all,玄武
御湖国际 1室1厅 3600元,3600,玄武红山,-43㎡南1室1厅1卫,all,玄武
凯润金城 1室1厅 5800元,5800,玄武长江路,-58㎡南1室1厅1卫,all,玄武
后宰门街36号 2室1厅 2700元,2700,玄武后宰门,-54㎡南2室1厅1卫,all,玄武
高楼门 1室1厅 3500元,3500,玄武玄武门,-35㎡南 北1室1厅1卫,all,玄武
西家大塘 1室1厅 3000元,3000,玄武玄武门,-42㎡南 北1室1厅1卫,all,玄武
卓越SOHO 1室0厅 3000元,3000,玄武长江路,-35㎡东1室0厅1卫,all,玄武
峨嵋公寓 1室1厅 4000元,4000,玄武玄武门,-52㎡西1室1厅1卫,all,玄武
五矿晏山居 1室1厅 3100元,3100,玄武孝陵卫,-47㎡南 北1室1厅1卫,all,玄武
罗汉巷 2室1厅 2600元,2600,玄武孝陵卫,-50㎡南2室1厅1卫,all,玄武
整租 · 南理工西园小区 3室1厅,3500,玄武孝陵卫,-65㎡南3室1厅1卫,all,玄武
南理工西园小区 1室1厅 3100元,3100,玄武孝陵卫,-46㎡南1室1厅1卫,all,玄武
唱经楼西街 2室1厅 4200元,4200,玄武丹凤街,-80㎡南2室1厅1卫,all,玄武
整租 · 后宰门东村 3室1厅,3400,玄武后宰门,-85㎡南3室1厅1卫,all,玄武
整租 · 花园路18号 2室1厅,3000,玄武锁金村,-60㎡南2室1厅1卫,all,玄武
整租 · 廖家巷 2室1厅,3300,玄武玄武门,-60㎡南2室1厅1卫,all,玄武
北苑二村 2室1厅 2300元,2300,玄武迈皋桥,-60㎡南 北2室1厅1卫,all,玄武
兰园小区 2室1厅 4300元,4300,玄武北京东路,-52㎡南2室1厅1卫,all,玄武
丹凤新寓 2室1厅 3500元,3500,玄武丹凤街,-62㎡南2室1厅1卫,all,玄武
东方城启明园 2室1厅 2600元,2600,玄武樱驼花园,-56㎡南 北2室1厅1卫,all,玄武
御湖国际 1室1厅 3800元,3800,玄武红山,-43㎡东1室1厅1卫,all,玄武
都市公社 2房间1卫 2600元,2600,玄武孝陵卫,-35㎡东1室1厅1卫,all,玄武
太平桥南 2室1厅 4200元,4200,玄武长江路,-48㎡南 北2室1厅1卫,all,玄武
锦盈大厦 1室1厅 4800元,4800,玄武玄武门,-48㎡南1室1厅1卫,all,玄武
太平桥南 1室1厅 5000元,5000,玄武长江路,-27㎡南1室1厅1卫,all,玄武
整租 · 营苑东村 2室1厅,2420,玄武迈皋桥,-66㎡南2室1厅1卫,all,玄武
整租 · 四牌楼 1室1厅,2950,玄武珠江路,-47㎡南1室1厅1卫,all,玄武
整租 · 营苑东村 2室1厅,2420,玄武迈皋桥,-66㎡南2室1厅1卫,all,玄武
赞成湖畔居 2室2厅 4500元,4500,玄武红山,-90㎡南 北2室2厅1卫,all,玄武
恒基中心公寓 1室1厅 4000元,4000,玄武丹凤街,-57㎡南1室1厅1卫,all,玄武
新世界中心 2室1厅 12000元,12000,玄武长江路,-141㎡南2室1厅1卫,all,玄武
壹零壹座 1室1厅 5800元,5800,玄武长江路,-96㎡南1室1厅1卫,all,玄武
沙塘园 3室2厅 6000元,6000,玄武珠江路,-68㎡西3室2厅1卫,all,玄武
壹零壹座 2室1厅 6500元,6500,玄武长江路,-113㎡南2室1厅1卫,all,玄武
太平北路122号 1室1厅 3800元,3800,玄武珠江路,-43㎡南1室1厅1卫,all,玄武
月新公寓 2室1厅 3500元,3500,玄武北京东路,-50㎡南2室1厅1卫,all,玄武
北门桥3号 2室1厅 3700元,3700,玄武长江路,-58㎡南2室1厅1卫,all,玄武
花园路 2室1厅 2300元,2300,玄武锁金村,-68㎡南2室1厅1卫,all,玄武
清溪路4号 2室1厅 3300元,3300,玄武后宰门,-52㎡南2室1厅1卫,all,玄武
新世界中心 1室1厅 5600元,5600,玄武长江路,-50㎡南1室1厅1卫,all,玄武
吉兆花园 1室1厅 3500元,3500,玄武丹凤街,-41㎡南1室1厅1卫,all,玄武
御湖国际 1室0厅 3000元,3000,玄武红山,-31㎡西1室0厅1卫,all,玄武
凯润金城 1室1厅 6000元,6000,玄武长江路,-48㎡南1室1厅1卫,all,玄武
木马公寓 1室0厅 3000元,3000,玄武丹凤街,-28㎡北1室0厅1卫,all,玄武
碑亭巷 2室1厅 4200元,4200,玄武长江路,-50㎡南2室1厅1卫,all,玄武
木马公寓 1室0厅 3000元,3000,玄武丹凤街,-28㎡北1室0厅1卫,all,玄武
双龙巷 2室1厅 3700元,3700,玄武丹凤街,-50㎡南2室1厅1卫,all,玄武
富贵山小区 2室1厅 3000元,3000,玄武后宰门,-52㎡南2室1厅1卫,all,玄武
德基紫金南苑 2室1厅 4000元,4000,玄武卫岗,-87㎡南 北2室1厅1卫,all,玄武
后宰门街 2室1厅 3200元,3200,玄武后宰门,-55㎡南2室1厅1卫,all,玄武
整租 · 新街口 凯润金城 素质住户 刷卡电梯 精品物业酒店管理,5400,玄武长江路,-58㎡北1室0厅1卫,all,玄武
整租 · 新街口 凯润金城 素质住户 刷卡电梯 精品物业酒店管理,5500,玄武长江路,-58㎡北1室1厅1卫,all,玄武
整租 · 西家大塘小区 好楼层 电梯房 玄武湖,6800,玄武玄武门,-103㎡南1室0厅0卫,all,玄武
整租 · 太平桥南 1室1厅 1400元,1400,玄武长江路,-55㎡南1室1厅1卫,all,玄武
紫金联合立方 2房间0卫 21000元,21000,玄武红山,-371㎡南 北1室1厅0卫,all,玄武
钟山山庄 2室1厅 2600元,2600,玄武樱驼花园,-60㎡南 北2室1厅1卫,all,玄武
钟山山庄 2室1厅 2800元,2800,玄武樱驼花园,-56㎡南 北2室1厅1卫,all,玄武
凯润金城 1室1厅 4800元,4800,玄武长江路,-50㎡北1室1厅1卫,all,玄武
太平新村2号 2室1厅 6000元,6000,玄武北京东路,-80㎡南2室1厅1卫,all,玄武
都市公社 1房间1卫 3000元,3000,玄武孝陵卫,-50㎡北1室0厅1卫,all,玄武
韶山路小区 2室1厅 2600元,2600,玄武红山,-61㎡南2室1厅1卫,all,玄武
如意里 1室1厅 2900元,2900,玄武长江路,-50㎡南1室1厅1卫,all,玄武
晏公庙西村 1室1厅 2500元,2500,玄武孝陵卫,-52㎡南 北1室1厅1卫,all,玄武
锦盈大厦 1室1厅 3600元,3600,玄武玄武门,-35㎡南 北1室1厅1卫,all,玄武
御湖国际 1室1厅 3700元,3700,玄武红山,-55㎡西1室1厅1卫,all,玄武
太平北路130号 2室1厅 3800元,3800,玄武珠江路,-50㎡南2室1厅1卫,all,玄武
月新花园 2室1厅 6000元,6000,玄武北京东路,-89㎡南2室1厅1卫,all,玄武
营苑新寓 2室1厅 2800元,2800,玄武迈皋桥,-65㎡南 北2室1厅1卫,all,玄武
后宰门街36号 2室1厅 3500元,3500,玄武后宰门,-52㎡南2室1厅1卫,all,玄武
竺桥新村 1室1厅 3500元,3500,玄武长江路,-30㎡南1室1厅1卫,all,玄武
兰园小区 2室1厅 4800元,4800,玄武北京东路,-67㎡南2室1厅1卫,all,玄武
整租 · 恒基中心公寓 2室2厅 8700元,8700,玄武丹凤街,-131㎡南 北2室2厅1卫,all,玄武
整租 · 新庄花园 2室1厅,3000,玄武红山,-70㎡南2室1厅1卫,all,玄武
廖家巷 1室1厅 2300元,2300,玄武玄武门,-38㎡南1室1厅1卫,all,玄武
锦盈大厦 1室0厅 4700元,4700,玄武玄武门,-47㎡南1室0厅1卫,all,玄武
紫藤苑 3室0厅 2800元,2800,玄武月苑,-75㎡南 北3室0厅1卫,all,玄武
西家大塘 1室1厅 3200元,3200,玄武玄武门,-41㎡南1室1厅1卫,all,玄武
北门桥小区 2室1厅 3800元,3800,玄武长江路,-65㎡南2室1厅1卫,all,玄武
凯润金城 1室1厅 5500元,5500,玄武长江路,-50㎡南1室1厅1卫,all,玄武
廖家巷 2室1厅 2500元,2500,玄武玄武门,-58㎡南2室1厅1卫,all,玄武
大石桥 1室1厅 3200元,3200,玄武丹凤街,-36㎡南1室1厅1卫,all,玄武
营苑南路 2室1厅 2800元,2800,玄武迈皋桥,-65㎡南2室1厅1卫,all,玄武
后宰门西村 2室1厅 3300元,3300,玄武后宰门,-63㎡南 西2室1厅1卫,all,玄武
紫金墨香苑 1室1厅 2200元,2200,玄武月苑,-45㎡南 北1室1厅1卫,all,玄武
后宰门街36号 1室1厅 2200元,2200,玄武后宰门,-42㎡南1室1厅1卫,all,玄武
石婆婆巷 2室1厅 3800元,3800,玄武丹凤街,-55㎡东 西2室1厅1卫,all,玄武
一枝园小区 2室1厅 3500元,3500,玄武长江路,-50㎡南 北2室1厅1卫,all,玄武
后宰门西村 2室1厅 3000元,3000,玄武后宰门,-53㎡南 西2室1厅1卫,all,玄武
中央路 2室1厅 2800元,2800,玄武玄武门,-53㎡东 西2室1厅1卫,all,玄武
罗汉巷 2室1厅 2400元,2400,玄武孝陵卫,-65㎡南2室1厅1卫,all,玄武
十字街70号 2室1厅 2500元,2500,玄武红山,-59㎡南 北2室1厅1卫,all,玄武
板仓街78号 2室1厅 3000元,3000,玄武锁金村,-68㎡南2室1厅1卫,all,玄武
高楼门28号 2室1厅 3600元,3600,玄武玄武门,-45㎡南2室1厅1卫,all,玄武
唱经楼西街 1室1厅 3200元,3200,玄武丹凤街,-50㎡东南1室1厅1卫,all,玄武
整租 · 时代华府 1室1厅,3730,玄武丹凤街,-41㎡南1室1厅1卫,all,玄武
兴贤佳园修贤苑 2室1厅 1700元,1700,玄武迈皋桥,-69㎡南 北2室1厅1卫,all,玄武
御湖国际 1室1厅 4200元,4200,玄武红山,-63㎡东1室1厅1卫,all,玄武
鸿信清新家园 2室2厅 3500元,3500,玄武卫岗,-90㎡南 北2室2厅1卫,all,玄武
凯润金城 1室0厅 4800元,4800,玄武长江路,-48㎡北1室0厅1卫,all,玄武
凯润金城 1室0厅 5400元,5400,玄武长江路,-58㎡北1室0厅1卫,all,玄武
红山美居 1房间1卫 2400元,2400,玄武红山,-40㎡南1室0厅1卫,all,玄武
板仓街78号 2室1厅 2300元,2300,玄武锁金村,-50㎡南 北2室1厅1卫,all,玄武
石婆婆庵1号 1室1厅 2800元,2800,玄武长江路,-40㎡东1室1厅1卫,all,玄武
御湖国际 1室1厅 3400元,3400,玄武红山,-44㎡西北1室1厅1卫,all,玄武
曹后村10号 2室1厅 2000元,2000,玄武红山,-60㎡南2室1厅1卫,all,玄武
凯润金城 1室0厅 5200元,5200,玄武长江路,-58㎡南1室0厅1卫,all,玄武
大纱帽巷38号 2室1厅 7500元,7500,玄武珠江路,-63㎡南 北2室1厅1卫,all,玄武
杨将军巷 2室1厅 3000元,3000,玄武长江路,-40㎡南2室1厅1卫,all,玄武
太平门东街10号 2室1厅 3600元,3600,玄武北京东路,-59㎡南2室1厅1卫,all,玄武
御湖国际 1室1厅 4100元,4100,玄武红山,-55㎡南 北1室1厅1卫,all,玄武
凯润金城 1室0厅 5300元,5300,玄武长江路,-58㎡北1室0厅1卫,all,玄武
凯润金城 1室1厅 5500元,5500,玄武长江路,-48㎡西1室1厅1卫,all,玄武
中央路 2室1厅 3200元,3200,玄武玄武门,-52㎡南 北2室1厅1卫,all,玄武
后宰门街 2室1厅 2700元,2700,玄武后宰门,-50㎡南 北2室1厅1卫,all,玄武
估衣廊 1室1厅 3300元,3300,玄武长江路,-41㎡南1室1厅1卫,all,玄武
营苑新寓 2室1厅 2200元,2200,玄武迈皋桥,-65㎡南2室1厅1卫,all,玄武
五矿晏山居 1室1厅 3500元,3500,玄武孝陵卫,-46㎡南 北1室1厅1卫,all,玄武
孝陵卫街49号 2室1厅 3500元,3500,玄武孝陵卫,-65㎡南 北2室1厅1卫,all,玄武
营苑西村 2室1厅 2100元,2100,玄武迈皋桥,-67㎡南2室1厅1卫,all,玄武
月苑二村 2室1厅 2500元,2500,玄武月苑,-80㎡南 北2室1厅1卫,all,玄武
凯润金城 1室1厅 5500元,5500,玄武长江路,-58㎡北1室1厅1卫,all,玄武
营苑新寓 1室0厅 1500元,1500,玄武迈皋桥,-30㎡南1室0厅1卫,all,玄武
月苑三村 2室1厅 2000元,2000,玄武月苑,-61㎡南2室1厅1卫,all,玄武
凯润金城 1室1厅 5200元,5200,玄武长江路,-48㎡南 北1室1厅1卫,all,玄武
将军巷 2室1厅 3500元,3500,玄武珠江路,-53㎡南2室1厅1卫,all,玄武
御湖国际 1室1厅 3400元,3400,玄武红山,-44㎡西1室1厅1卫,all,玄武
壹零壹座 1室1厅 5500元,5500,玄武长江路,-51㎡西1室1厅1卫,all,玄武
凯润金城 1室1厅 5200元,5200,玄武长江路,-58㎡北1室1厅1卫,all,玄武
清溪路4号 2室1厅 3300元,3300,玄武后宰门,-55㎡南 北2室1厅1卫,all,玄武
竺桥新村 1室1厅 1700元,1700,玄武长江路,-16㎡南1室1厅1卫,all,玄武
珠江路 1室1厅 2600元,2600,玄武珠江路,-37㎡南 北1室1厅1卫,all,玄武
如意里 2室1厅 3600元,3600,玄武长江路,-60㎡南2室1厅1卫,all,玄武
新世界中心 1室1厅 8500元,8500,玄武长江路,-112㎡南1室1厅1卫,all,玄武
壹零壹座 1室1厅 5500元,5500,玄武长江路,-51㎡西1室1厅1卫,all,玄武
汇文里 1室1厅 2500元,2500,玄武长江路,-30㎡西北1室1厅1卫,all,玄武
东大宿舍 2室1厅 4500元,4500,玄武珠江路,-62㎡南2室1厅1卫,all,玄武
尖角营小区 1室1厅 2000元,2000,玄武丹凤街,-18㎡南1室1厅1卫,all,玄武
德基紫金南苑 1室2厅 4200元,4200,玄武卫岗,-88㎡南 北1室2厅1卫,all,玄武
十字街小区 2室1厅 2700元,2700,玄武红山,-63㎡南2室1厅1卫,all,玄武
红山路107号 2室1厅 2500元,2500,玄武红山,-65㎡南 北2室1厅1卫,all,玄武
都市公社 2房间1卫 3500元,3500,玄武孝陵卫,-48㎡南1室1厅1卫,all,玄武
御湖国际 1室0厅 3000元,3000,玄武红山,-26㎡北1室0厅1卫,all,玄武
木马公寓 1室1厅 3100元,3100,玄武丹凤街,-28㎡北1室1厅1卫,all,玄武
新世界中心 2室1厅 10800元,10800,玄武长江路,-130㎡北2室1厅1卫,all,玄武
后半山园4号 2室1厅 4300元,4300,玄武后宰门,-70㎡南2室1厅1卫,all,玄武
居安里 1室1厅 2800元,2800,玄武丹凤街,-24㎡南1室1厅1卫,all,玄武
丹凤街 2室1厅 3300元,3300,玄武丹凤街,-62㎡南 北2室1厅1卫,all,玄武
整租 · 曹后村10号 2室1厅,2600,玄武红山,-75㎡南 北2室1厅1卫,all,玄武
壹零壹座 2室1厅 6800元,6800,玄武长江路,-70㎡西北2室1厅1卫,all,玄武
凯润金城 1室1厅 5000元,5000,玄武长江路,-46㎡南1室1厅1卫,all,玄武
时代华府 1室1厅 3800元,3800,玄武丹凤街,-52㎡西1室1厅1卫,all,玄武
花园路3号 2室1厅 2600元,2600,玄武锁金村,-61㎡南2室1厅1卫,all,玄武
木马公寓 1室1厅 3700元,3700,玄武丹凤街,-41㎡南1室1厅1卫,all,玄武
木马公寓 1室0厅 3250元,3250,玄武丹凤街,-28㎡北1室0厅1卫,all,玄武
尖角营小区 2室1厅 6666.66元,6667,玄武丹凤街,-60㎡南2室1厅1卫,all,玄武
石婆婆庵 2室1厅 3200元,3200,玄武长江路,-50㎡南2室1厅1卫,all,玄武
北京东路24号 2室1厅 4500元,4500,玄武北京东路,-70㎡南 北2室1厅1卫,all,玄武
壹零壹座 0室1厅 3800元,3800,玄武长江路,-51㎡南0室1厅1卫,all,玄武
樱铁村小区 2室1厅 2500元,2500,玄武樱驼花园,-50㎡南 北2室1厅1卫,all,玄武
锦盈大厦 1室1厅 4900元,4900,玄武玄武门,-47㎡东1室1厅1卫,all,玄武
东大宿舍 2室1厅 4500元,4500,玄武珠江路,-56㎡南2室1厅1卫,all,玄武
红庙小区 1室1厅 1500元,1500,玄武长江路,-15㎡北1室1厅1卫,all,玄武
五矿晏山居 1室1厅 3800元,3800,玄武孝陵卫,-47㎡南 北1室1厅1卫,all,玄武
红旗新村 2室1厅 5000元,5000,玄武珠江路,-60㎡东2室1厅1卫,all,玄武
整租 · 居安里 2室1厅,3500,玄武丹凤街,-68㎡南2室1厅1卫,all,玄武
北京东路24号 2室1厅 4300元,4300,玄武北京东路,-65㎡南 北2室1厅1卫,all,玄武
花红园 1室1厅 2600元,2600,玄武珠江路,-49㎡南1室1厅1卫,all,玄武
和平大沟 2室1厅 2800元,2800,玄武玄武门,-50㎡南 北2室1厅1卫,all,玄武
北极西村 2室1厅 3300元,3300,玄武玄武门,-55㎡南2室1厅1卫,all,玄武
整租 · 都市公社 1室0厅,2100,玄武孝陵卫,-20㎡北1室0厅1卫,all,玄武
木马公寓 1室1厅 3050元,3050,玄武丹凤街,-28㎡北1室1厅1卫,all,玄武
御湖国际 1室1厅 4200元,4200,玄武红山,-43㎡东南1室1厅1卫,all,玄武
木马公寓 1室1厅 3700元,3700,玄武丹凤街,-41㎡南1室1厅1卫,all,玄武
凯润金城 1室1厅 5800元,5800,玄武长江路,-49㎡南1室1厅1卫,all,玄武
营苑西村 2室1厅 2300元,2300,玄武迈皋桥,-68㎡南 北2室1厅1卫,all,玄武
五矿晏山居 1室1厅 3300元,3300,玄武孝陵卫,-46㎡南1室1厅1卫,all,玄武
曹后村邮局宿舍 2室1厅 2600元,2600,玄武红山,-62㎡南2室1厅1卫,all,玄武
红旗新村 2室1厅 3100元,3100,玄武珠江路,-55㎡南 北2室1厅1卫,all,玄武
佛心桥 2室1厅 1700元,1700,玄武后宰门,-60㎡南2室1厅1卫,all,玄武
钟灵街105号 2室1厅 2500元,2500,玄武孝陵卫,-58㎡南2室1厅1卫,all,玄武
康定里 1室1厅 2200元,2200,玄武卫岗,-41㎡南1室1厅1卫,all,玄武
峨嵋公寓 1室1厅 4300元,4300,玄武玄武门,-59㎡南1室1厅1卫,all,玄武
北苑三村 2室1厅 2000元,2000,玄武迈皋桥,-51㎡南2室1厅1卫,all,玄武
大石桥小区 2室1厅 4500元,4500,玄武丹凤街,-55㎡东南2室1厅1卫,all,玄武
廖家巷 2室1厅 3100元,3100,玄武玄武门,-50㎡南2室1厅1卫,all,玄武
后宰门清溪村 3室0厅 3000元,3000,玄武后宰门,-55㎡南 北3室0厅1卫,all,玄武
富贵山小区 2室1厅 3100元,3100,玄武后宰门,-61㎡南 北2室1厅1卫,all,玄武
营苑新寓 1室1厅 5000元,5000,玄武迈皋桥,-35㎡南1室1厅1卫,all,玄武
公教一村 1室1厅 4600元,4600,玄武北京东路,-58㎡南1室1厅1卫,all,玄武
大树根 2室1厅 4000元,4000,玄武玄武门,-50㎡南2室1厅1卫,all,玄武
锁金三村 2室1厅 2800元,2800,玄武锁金村,-46㎡南 北2室1厅1卫,all,玄武
北门桥小区 2室2厅 3700元,3700,玄武长江路,-67㎡南 北2室2厅1卫,all,玄武
紫金墨香苑 2室1厅 2300元,2300,玄武月苑,-67㎡南 北2室1厅1卫,all,玄武
锦盈大厦 2室1厅 7800元,7800,玄武玄武门,-83㎡东2室1厅1卫,all,玄武
都市公社 2房间1卫 2400元,2400,玄武孝陵卫,-27㎡南1室1厅1卫,all,玄武
峨嵋公寓 1室0厅 4200元,4200,玄武玄武门,-59㎡南1室0厅1卫,all,玄武
土壤研究所 1室1厅 3000元,3000,玄武北京东路,-39㎡南1室1厅1卫,all,玄武
木马公寓 1室1厅 3400元,3400,玄武丹凤街,-41㎡南1室1厅1卫,all,玄武
凯润金城 2室1厅 7900元,7900,玄武长江路,-80㎡东北2室1厅1卫,all,玄武
华盛园 2室1厅 2100元,2100,玄武卫岗,-55㎡南2室1厅1卫,all,玄武
新世界中心 5室1厅 22000元,22000,玄武长江路,-250㎡北5室1厅1卫,all,玄武
如意里 2室1厅 3700元,3700,玄武长江路,-50㎡南 北2室1厅1卫,all,玄武
孝陵卫街21号 2室1厅 3200元,3200,玄武孝陵卫,-68㎡南2室1厅1卫,all,玄武
廖家巷 2室1厅 3000元,3000,玄武玄武门,-55㎡南 北2室1厅1卫,all,玄武
板仓街130号 2室1厅 3000元,3000,玄武锁金村,-62㎡南 北2室1厅1卫,all,玄武
康定里 2室1厅 2300元,2300,玄武卫岗,-55㎡南 北2室1厅1卫,all,玄武
紫金华府 2室1厅 3500元,3500,玄武孝陵卫,-70㎡南 北2室1厅1卫,all,玄武
御湖国际 1室1厅 4000元,4000,玄武红山,-55㎡西1室1厅1卫,all,玄武
南农大小区 1室1厅 3000元,3000,玄武卫岗,-65㎡南1室1厅1卫,all,玄武
中电颐和家园尚玄 2室2厅 4000元,4000,玄武红山,-86㎡南 北2室2厅1卫,all,玄武
阳光聚宝山庄 2室1厅 3600元,3600,玄武月苑,-99㎡南 北2室1厅1卫,all,玄武
新庄花园 4室1厅 5500元,5500,玄武红山,-97㎡南4室1厅1卫,all,玄武
丹凤街 1室1厅 3400元,3400,玄武丹凤街,-40㎡东1室1厅1卫,all,玄武
丹凤街 2室1厅 3800元,3800,玄武丹凤街,-50㎡东 西2室1厅1卫,all,玄武
北苑之星花园 2室2厅 3200元,3200,玄武迈皋桥,-99㎡南 北2室2厅1卫,all,玄武
祥和佳园 2室1厅 2400元,2400,玄武迈皋桥,-85㎡南2室1厅1卫,all,玄武
新世界中心 3室1厅 21000元,21000,玄武长江路,-245㎡东北3室1厅1卫,all,玄武
仙鹤茗苑 2室1厅 2000元,2000,玄武仙鹤门,-75㎡南 北2室1厅1卫,all,玄武
锁金村6至10号 2室1厅 2800元,2800,玄武锁金村,-45㎡南2室1厅1卫,all,玄武
北苑之星花园 3室2厅 6000元,6000,玄武迈皋桥,-133㎡南 北3室2厅2卫,all,玄武
华电一宿舍 2室1厅 2800元,2800,玄武红山,-62㎡南2室1厅1卫,all,玄武
阳光聚宝山庄 3室2厅 5000元,5000,玄武月苑,-138㎡南 北3室2厅2卫,all,玄武
锁金四村 2室1厅 3500元,3500,玄武锁金村,-50㎡南 北2室1厅1卫,all,玄武
中建八局 2室1厅 1200元,1200,玄武孝陵卫,-69㎡南 北2室1厅1卫,all,玄武
板仓街78号 2室1厅 2300元,2300,玄武锁金村,-49㎡南 北2室1厅1卫,all,玄武
高楼门 2室1厅 3650元,3650,玄武玄武门,-67㎡南 北2室1厅1卫,all,玄武
大树根 2室1厅 4200元,4200,玄武玄武门,-67㎡南2室1厅1卫,all,玄武
锁金二村 3室1厅 3000元,3000,玄武锁金村,-70㎡南3室1厅1卫,all,玄武
花红园 3室1厅 4000元,4000,玄武珠江路,-60㎡南3室1厅1卫,all,玄武
紫金柳苑小区 2室1厅 2900元,2900,玄武孝陵卫,-60㎡南2室1厅1卫,all,玄武
富贵山小区 2室0厅 2500元,2500,玄武后宰门,-48㎡南2室0厅1卫,all,玄武
紫金联合立方 4房间1卫 8500元,8500,玄武红山,-120㎡南2室2厅1卫,all,玄武
新世界中心 3室1厅 13000元,13000,玄武长江路,-170㎡南3室1厅0卫,all,玄武
新世界中心 1室1厅 6500元,6500,玄武长江路,-85㎡北1室1厅1卫,all,玄武
廖家巷 1室1厅 1900元,1900,玄武玄武门,-50㎡南1室1厅1卫,all,玄武
十字街70号 3室1厅 3000元,3000,玄武红山,-67㎡南 北3室1厅1卫,all,玄武
花园路18号 2室1厅 3400元,3400,玄武锁金村,-70㎡南2室1厅1卫,all,玄武
雯锦雅苑 3室2厅 3800元,3800,玄武月苑,-110㎡南 北3室2厅2卫,all,玄武
汇杰广场 1室0厅 20000元,20000,玄武丹凤街,-200㎡南1室0厅0卫,all,玄武
银城东苑毓秀苑 3室2厅 5000元,5000,玄武卫岗,-104㎡南 北3室2厅1卫,all,玄武
月苑三村 1室1厅 2000元,2000,玄武月苑,-45㎡南1室1厅1卫,all,玄武
佛心桥 2室1厅 4000元,4000,玄武后宰门,-67㎡南2室1厅1卫,all,玄武
花红园 2室1厅 2900元,2900,玄武珠江路,-55㎡南2室1厅1卫,all,玄武
北苑一村 2室1厅 2100元,2100,玄武迈皋桥,-60㎡南 北2室1厅1卫,all,玄武
相府营 2室1厅 3600元,3600,玄武长江路,-62㎡南 北2室1厅1卫,all,玄武
卫岗26号小区 2室1厅 2800元,2800,玄武卫岗,-60㎡南 北2室1厅1卫,all,玄武
银城东苑毓秀苑 2室2厅 4500元,4500,玄武卫岗,-96㎡南 北2室2厅1卫,all,玄武
花园路7号 2室1厅 2400元,2400,玄武锁金村,-57㎡南2室1厅1卫,all,玄武
新世界中心 7室1厅 19000元,19000,玄武长江路,-223㎡南7室1厅1卫,all,玄武
整租 · 锁金六村 2室1厅,3500,玄武锁金村,-50㎡南2室1厅1卫,all,玄武
北苑二村 2室1厅 2000元,2000,玄武迈皋桥,-53㎡南 北2室1厅1卫,all,玄武
老虎桥 2室1厅 4000元,4000,玄武珠江路,-57㎡南2室1厅1卫,all,玄武
整租 · 新庄村53号 2室1厅,2600,玄武红山,-50㎡北2室1厅1卫,all,玄武
一枝园小区 3室1厅 4800元,4800,玄武长江路,-75㎡南3室1厅1卫,all,玄武
营苑西村 2室1厅 1800元,1800,玄武迈皋桥,-65㎡南2室1厅1卫,all,玄武
新世界中心 1室0厅 4600元,4600,玄武长江路,-54㎡西1室0厅1卫,all,玄武
华利国际 5室1厅 42000元,42000,玄武丹凤街,-343㎡西5室1厅0卫,all,玄武
凯润金城 1室1厅 5200元,5200,玄武长江路,-59㎡南1室1厅1卫,all,玄武
钟山花园城山水居 3室2厅 8800元,8800,玄武卫岗,-137㎡南 北3室2厅2卫,all,玄武
百仕园 3室1厅 7800元,7800,玄武珠江路,-137㎡南3室1厅1卫,all,玄武
台城花园 1室1厅 2900元,2900,玄武玄武门,-56㎡南1室1厅1卫,all,玄武
曹后村10号 2室1厅 2300元,2300,玄武红山,-50㎡南2室1厅1卫,all,玄武
天然居 2室2厅 3400元,3400,玄武红山,-87㎡南2室2厅1卫,all,玄武
新庄花园 4室0厅 5500元,5500,玄武红山,-100㎡南4室0厅1卫,all,玄武
整租 · 御湖国际 1室1厅,3400,玄武红山,-38㎡南1室1厅1卫,all,玄武
红山机电花园 2室1厅 3300元,3300,玄武红山,-86㎡南 北2室1厅1卫,all,玄武
都市公社 4房间1卫 4700元,4700,玄武孝陵卫,-81㎡南2室2厅1卫,all,玄武
佛心桥 2室1厅 3300元,3300,玄武后宰门,-55㎡南 北2室1厅1卫,all,玄武
鸿信清新家园 3室2厅 4600元,4600,玄武卫岗,-130㎡南3室2厅2卫,all,玄武
后宰门街 2室1厅 1000元,1000,玄武后宰门,-56㎡南 北2室1厅1卫,all,玄武
珠江路653号 2室1厅 4000元,4000,玄武珠江路,-60㎡南2室1厅1卫,all,玄武
居安里 2室1厅 3400元,3400,玄武丹凤街,-56㎡南 北2室1厅1卫,all,玄武
新世界中心 1室0厅 1200元,1200,玄武长江路,-19㎡东1室0厅0卫,all,玄武
丹凤新寓 1室1厅 3400元,3400,玄武丹凤街,-47㎡南1室1厅1卫,all,玄武
